Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.997	270.309	9.809%	61.481	7.734%	0.01862	0.996
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.995	262.352	13.379%	57.566	10.185%	0.0316	0.993
EOC1022_pOme1_DNA1	884.8837764887545	0.984	182.117	20.581%	43.756	17.824%	0.04789	0.978
EOC1022_pPer1_DNA1	1358.826827879444	0.997	130.178	9.58%	28.487	7.687%	0.01659	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.989	316.026	19.692%	72.081	15.16%	0.05023	0.984
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.996	395.527	12.235%	91.633	9.174%	0.02299	0.994
EOC1067_pPerR1_DNA1	1501.7751190546387	0.995	204.605	13.624%	45.676	10.601%	0.0281	0.993
EOC1067_pTubL1_DNA1	2166.8040540479265	0.998	188.024	8.677%	42.521	6.783%	0.01438	0.997
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	347.112	11.201%	83.975	9.321%	0.02397	0.994
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.994	337.177	12.782%	88.429	11.335%	0.03445	0.991
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	416.662	9.433%	85.244	6.333%	0.01929	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	559.069	13.812%	128.594	11.075%	0.02883	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.999	236.044	6.758%	55.223	5.358%	0.00771	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.997	290.435	9.102%	70.414	7.644%	0.01048	0.996
EOC133_pOvaL1_DNA1	3135.920383373419	1.0	134.849	4.3%	29.065	3.133%	0.00601	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	358.834	4.982%	92.089	4.368%	0.0062	0.999
EOC148_pAdnL3_DNA1	6768.848232060547	0.998	452.358	6.683%	119.378	6.044%	0.01106	0.998
EOC148_pOvaL4_DNA1	5273.876693432245	0.999	308.399	5.848%	80.402	5.365%	0.00521	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	0.999	383.85	5.906%	93.047	4.91%	0.00636	0.998
EOC192_iOme1B_DNA2	678.8515152418059	0.992	103.327	15.221%	26.924	12.653%	0.03894	0.99
EOC192_iOme3A_DNA1	700.8106088235589	0.99	112.577	16.064%	31.276	14.124%	0.03422	0.987
EOC192_iOvaR1A_DNA1	959.0604771054909	0.997	80.896	8.435%	20.006	7.108%	0.01674	0.997
EOC192_pAsc1_DNA1	880.704633671309	0.995	114.651	13.018%	27.049	10.1%	0.02699	0.993
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.998	76.797	8.367%	17.018	6.22%	0.01454	0.997
EOC192_pOme2B_DNA2	964.0041714093117	0.999	60.946	6.322%	12.295	4.376%	0.01186	0.999
EOC192_pOvaR1A_DNA1	907.0493577400416	0.998	73.614	8.116%	18.148	6.791%	0.01484	0.997
EOC192_pOvaR1A_DNA3	917.0488345709969	0.995	97.756	10.66%	26.063	9.568%	0.01954	0.994
EOC192_pPer1A_DNA2	1118.8987001439978	0.992	152.001	13.585%	40.328	12.569%	0.02585	0.989
EOC192_pPer2B_DNA1	1389.994158932963	0.992	194.866	14.019%	49.531	13.481%	0.03735	0.988
EOC293_pAdnL1_DNA1	5997.693882801555	0.999	334.127	5.571%	94.57	4.806%	0.00629	0.999
EOC293_pMes1_DNA2	6323.687079592864	0.999	426.118	6.738%	96.869	4.741%	0.00962	0.999
EOC293_pOvaR1_DNA2	5265.661499924712	0.999	306.946	5.829%	84.854	4.83%	0.00616	0.999
EOC372_iOme1_DNA1	3984.859400842834	0.998	347.863	8.73%	74.659	6.625%	0.01714	0.997
EOC372_iPer1_DNA1	2529.9188003744616	0.996	286.656	11.331%	62.864	8.871%	0.02273	0.995
EOC372_pPer1_DNA1	3149.8828697334707	0.998	242.989	7.714%	52.898	5.925%	0.01362	0.998
EOC523_pOme1_DNA2	2238.082215283781	0.992	358.691	16.027%	90.489	12.963%	0.03503	0.989
EOC523_pOvaR1_DNA2	2032.0425758051892	0.991	303.312	14.926%	86.976	13.889%	0.03597	0.988
EOC561_pPer1_DNA1	5091.689780166178	0.997	511.062	10.037%	125.605	7.922%	0.01897	0.996
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.998	389.936	8.875%	92.449	6.567%	0.01544	0.997
EOC63_pOme1_DNA1	13347.02152030531	0.989	2240.174	16.784%	604.826	14.848%	0.04966	0.985
EOC63_pOvaR1_DNA1	3820.96740499095	0.993	561.565	14.697%	134.694	12.287%	0.03503	0.99
EOC667_pMes1_DNA1	4900.923479742949	0.998	407.707	8.319%	96.517	6.376%	0.01547	0.998
EOC667_pOme1_DNA2	4290.0531489283885	0.997	438.565	10.223%	112.962	8.295%	0.01423	0.996
EOC77_iOme1_DNA1	1344.485197327381	0.994	182.321	13.561%	41.414	11.027%	0.03888	0.991
EOC77_iOme2_DNA1	1241.484847886027	0.987	237.11	19.099%	61.059	16.514%	0.07134	0.982
EOC77_iPer1_DNA2	1395.5751736150082	0.998	134.348	9.627%	27.176	6.533%	0.02537	0.997
EOC77_pAsc1_DNA1	1092.642047587281	0.999	88.308	8.082%	18.177	5.698%	0.01582	0.998
EOC77_pOme1_DNA3	1279.433605987212	0.993	177.549	13.877%	44.395	11.619%	0.03901	0.991
EOC779_pOme1_DNA1	2035.9929527044942	0.997	193.812	9.519%	43.46	7.504%	0.02202	0.996
EOC779_pOvaL1_DNA1	4306.868665044061	0.999	262.387	6.092%	53.482	3.812%	0.01038	0.999
EOC779_pPer1_DNA1	3341.8731976264326	1.0	94.271	2.821%	19.369	1.891%	0.00375	1.0
EOC863_pMes1_DNA1	1951.3409529659639	0.986	351.965	18.037%	96.08	16.701%	0.04523	0.981
EOC863_pOva1_DNA1	2745.2767122974183	0.993	404.168	14.722%	96.757	11.936%	0.03144	0.99
EOC879_p2Ome1_DNA1	2988.8681346949616	0.996	373.424	12.494%	83.138	9.629%	0.02404	0.994
EOC879_p2OvaL1_DNA1	6042.795099097448	0.998	519.073	8.59%	123.249	6.931%	0.01179	0.997
EOC879_p2TubL1_DNA1	5451.735982195487	0.998	398.521	7.31%	90.7	5.632%	0.00859	0.998
EOC914_iOme1_DNA1	3607.8482536879173	0.999	252.028	6.986%	59.359	5.709%	0.01391	0.998
EOC914_iOvaL1_DNA1	3498.768319600249	0.997	314.307	8.983%	76.017	7.507%	0.01428	0.996
EOC914_iPer1_DNA1	3392.7773257406498	0.999	181.414	5.347%	38.858	3.898%	0.00951	0.999
EOC984_pOme1_DNA1	1156.7593080244005	0.994	162.091	14.013%	35.528	10.647%	0.04766	0.992
EOC984_pPer1_DNA1	1155.7647656590032	0.996	147.187	12.735%	30.023	8.977%	0.04051	0.995
