MutationType	SCN-A	SCN-B	SCN-C	SCN-D	SCN-E	SCN-F	SCN-G	SCN-H	SCN-I	SCN-J	SCN-K
simple	0.15449103	0.00225266	0.04745340	0.05954755	0.16858321	0.13171825	0.00000000	0.02741891	0.00835321	0.00915523	0.00570334
complex	0.00000000	0.00000000	0.03989469	0.01534931	0.00000000	0.00000000	0.25778881	0.03227090	0.01287034	0.00016074	0.00738070
interchr	0.00000000	0.05941814	0.02497783	0.02584872	0.00290184	0.00008870	0.00183680	0.03111733	0.04597881	0.00000000	0.00218144
intrachr	0.13314183	0.10083352	0.07816103	0.09061296	0.11155830	0.13205964	0.00024963	0.07633958	0.08319731	0.14178752	0.03801299
compact	0.00598516	0.00304349	0.00000956	0.00086689	0.00000000	0.00130028	0.00022166	0.00000000	0.00002776	0.12633647	0.00000000
sparse	0.00000000	0.00007988	0.00028037	0.00545585	0.00129536	0.00118910	0.00239553	0.00015437	0.00479121	0.16223129	0.00081659
del1	0.08253339	0.00000000	0.00344377	0.00000000	0.05910224	0.00000000	0.00000056	0.00000000	0.00054050	0.00000000	0.00000000
del2	0.04127164	0.00005422	0.00461929	0.00469896	0.01159936	0.00003841	0.00007633	0.00152468	0.00085930	0.00140834	0.00014515
del3	0.02489289	0.00020234	0.00607659	0.01446743	0.00000000	0.00001523	0.00000000	0.00418993	0.00046524	0.00419712	0.00001361
del4	0.00007354	0.00035914	0.00584468	0.02383408	0.00001460	0.00000000	0.00000000	0.00739090	0.00431368	0.01350212	0.00090716
del5	0.00070037	0.00012041	0.00097078	0.00211692	0.00179426	0.00172293	0.00009281	0.00089314	0.00129997	0.00043581	0.00059425
dup1	0.00024203	0.00128000	0.00031403	0.00053799	0.00386696	0.00189952	0.00002192	0.00106381	0.00058720	0.00158656	0.00179696
dup2	0.00000000	0.00000000	0.00044436	0.00005898	0.09117919	0.00361027	0.00000003	0.00004239	0.00000000	0.00083440	0.00000184
dup3	0.00000000	0.00001458	0.00332715	0.00012845	0.00000000	0.11090542	0.00000000	0.00243482	0.00151703	0.00115826	0.00101097
