Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.988	574.163	20.835%	141.468	17.796%	0.0761	0.985
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	274.054	13.976%	61.939	10.959%	0.03464	0.992
EOC1022_pOme1_DNA1	884.8837764887545	0.984	183.881	20.78%	44.019	17.932%	0.04977	0.977
EOC1022_pPer1_DNA1	1358.826827879444	0.997	132.152	9.725%	29.481	7.955%	0.0171	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.981	369.671	23.034%	93.215	19.605%	0.06491	0.975
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.989	595.224	18.413%	149.632	14.981%	0.04634	0.985
EOC1067_pPerR1_DNA1	1501.7751190546387	0.986	302.042	20.112%	72.753	16.885%	0.05603	0.98
EOC1067_pTubL1_DNA1	2166.8040540479265	0.995	269.696	12.447%	64.448	10.282%	0.0323	0.993
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.991	499.965	16.134%	119.372	13.249%	0.05803	0.988
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.99	476.396	18.059%	109.309	14.011%	0.04917	0.987
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.981	1149.181	26.017%	262.484	19.502%	0.13454	0.975
EOC124_pOvaR1_TR	4047.759470070756	0.982	863.892	21.342%	219.915	18.94%	0.07728	0.975
EOC133_pAsc1_DNA1	3492.8721079373286	0.992	457.09	13.086%	131.048	12.714%	0.02611	0.99
EOC133_pOme1_TR_DNA	3190.908324987377	0.993	430.57	13.494%	110.868	12.035%	0.02662	0.99
EOC133_pOvaL1_DNA1	3135.920383373419	0.994	402.966	12.85%	105.402	11.36%	0.03018	0.992
EOC148_pAdnL1_DNA1	7202.839296609127	0.998	537.503	7.462%	137.815	6.537%	0.00875	0.997
EOC148_pAdnL3_DNA1	6768.848232060547	0.995	735.215	10.862%	196.682	9.958%	0.01509	0.993
EOC148_pOvaL4_DNA1	5273.876693432245	0.992	709.725	13.457%	192.005	12.811%	0.02091	0.989
EOC148_pOvaL5_DNA1	6498.883349850876	0.992	794.773	12.229%	232.948	12.294%	0.01747	0.99
EOC192_iOme1B_DNA2	678.8515152418059	0.991	114.857	16.919%	28.407	13.349%	0.04489	0.988
EOC192_iOme3A_DNA1	700.8106088235589	0.99	112.348	16.031%	31.286	14.128%	0.03423	0.987
EOC192_iOvaR1A_DNA1	959.0604771054909	0.997	93.38	9.737%	21.744	7.726%	0.01889	0.996
EOC192_pAsc1_DNA1	880.704633671309	0.988	173.541	19.705%	41.9	15.645%	0.05109	0.985
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.998	79.463	8.657%	17.377	6.351%	0.01543	0.997
EOC192_pOme2B_DNA2	964.0041714093117	0.999	71.86	7.454%	15.478	5.509%	0.01682	0.998
EOC192_pOvaR1A_DNA1	907.0493577400416	0.997	83.384	9.193%	19.828	7.419%	0.01667	0.996
EOC192_pOvaR1A_DNA3	917.0488345709969	0.995	111.173	12.123%	28.148	10.333%	0.02305	0.993
EOC192_pPer1A_DNA2	1118.8987001439978	0.988	192.778	17.229%	50.615	15.775%	0.02862	0.983
EOC192_pPer2B_DNA1	1389.994158932963	0.984	262.596	18.892%	70.751	19.256%	0.05827	0.977
EOC293_pAdnL1_DNA1	5997.693882801555	0.996	638.395	10.644%	170.457	8.663%	0.02115	0.995
EOC293_pMes1_DNA2	6323.687079592864	0.995	757.794	11.983%	228.32	11.174%	0.01221	0.994
EOC293_pOvaR1_DNA2	5265.661499924712	0.998	342.617	6.507%	98.015	5.579%	0.01002	0.998
EOC372_iOme1_DNA1	3984.859400842834	0.994	577.786	14.5%	124.644	11.061%	0.03752	0.992
EOC372_iPer1_DNA1	2529.9188003744616	0.991	455.334	17.998%	103.094	14.547%	0.07524	0.988
EOC372_pPer1_DNA1	3149.8828697334707	0.996	368.434	11.697%	82.68	9.26%	0.03654	0.995
EOC523_pOme1_DNA2	2238.082215283781	0.98	479.102	21.407%	142.1	20.357%	0.12294	0.975
EOC523_pOvaR1_DNA2	2032.0425758051892	0.99	299.581	14.743%	90.839	14.506%	0.02955	0.986
EOC561_pPer1_DNA1	5091.689780166178	0.995	628.482	12.343%	178.229	11.241%	0.01965	0.993
EOC561_pPer1_DNA1_bgiseq	4393.676664631116	0.992	657.276	14.96%	187.526	13.321%	0.0502	0.99
EOC63_pOme1_DNA1	13347.02152030531	0.988	2306.263	17.279%	637.874	15.659%	0.04793	0.984
EOC63_pOvaR1_DNA1	3820.96740499095	0.988	783.156	20.496%	175.274	15.988%	0.05535	0.984
EOC667_pMes1_DNA1	4900.923479742949	0.988	958.27	19.553%	229.95	15.191%	0.06814	0.985
EOC667_pOme1_DNA2	4290.0531489283885	0.991	722.726	16.847%	182.921	13.432%	0.04926	0.988
EOC77_iOme1_DNA1	1344.485197327381	0.986	271.664	20.206%	63.578	16.928%	0.07143	0.979
EOC77_iOme2_DNA1	1241.484847886027	0.98	289.213	23.296%	73.91	19.989%	0.12249	0.973
EOC77_iPer1_DNA2	1395.5751736150082	0.996	166.418	11.925%	36.471	8.768%	0.03756	0.995
EOC77_pAsc1_DNA1	1092.642047587281	0.994	139.438	12.762%	35.92	11.259%	0.0345	0.991
EOC77_pOme1_DNA3	1279.433605987212	0.993	176.41	13.788%	45.931	12.021%	0.03949	0.99
EOC779_pOme1_DNA1	2035.9929527044942	0.995	245.616	12.064%	58.158	10.042%	0.02984	0.993
EOC779_pOvaL1_DNA1	4306.868665044061	0.998	390.664	9.071%	95.515	6.808%	1000.0	0.997
EOC779_pPer1_DNA1	3341.8731976264326	0.999	207.904	6.221%	48.166	4.704%	0.01142	0.999
