Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2OvaL1_TR_DNA	2755.8111458251706	0.997	270.29	9.808%	61.434	7.728%	0.01862	0.996
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.994	274.054	13.976%	61.939	10.959%	0.03464	0.992
EOC1022_pOme1_DNA1	884.8837764887545	0.984	183.881	20.78%	44.019	17.932%	0.04977	0.977
EOC1022_pPer1_DNA1	1358.826827879444	0.997	132.152	9.725%	29.481	7.955%	0.0171	0.996
EOC1067_pOme1_DNA3	1604.881423102248	0.987	322.646	20.104%	78.166	16.44%	0.05498	0.982
EOC1067_pOvaR1_DNA1	3232.6593710798315	0.995	426.609	13.197%	100.426	10.054%	0.03874	0.993
EOC1067_pPerR1_DNA1	1501.7751190546387	0.994	208.075	13.855%	46.74	10.848%	0.02789	0.992
EOC1067_pTubL1_DNA1	2166.8040540479265	0.997	212.494	9.807%	48.017	7.66%	0.01895	0.996
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.996	357.423	11.534%	84.138	9.339%	0.02554	0.994
EOC1091_pOvaR1_TR_DNA	2637.9626345633537	0.993	358.152	13.577%	89.982	11.534%	0.03593	0.991
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.998	454.192	10.283%	98.192	7.295%	0.0245	0.997
EOC124_pOvaR1_TR	4047.759470070756	0.994	559.069	13.812%	128.594	11.075%	0.02883	0.992
EOC133_pAsc1_DNA1	3492.8721079373286	0.998	255.403	7.312%	57.369	5.566%	0.00942	0.998
EOC133_pOme1_TR_DNA	3190.908324987377	0.996	331.737	10.396%	78.262	8.496%	0.01459	0.995
EOC133_pOvaL1_DNA1	3135.920383373419	0.999	160.996	5.134%	33.378	3.597%	0.00752	0.999
EOC148_pAdnL1_DNA1	7202.839296609127	0.999	489.067	6.79%	115.126	5.461%	0.00739	0.998
EOC148_pAdnL3_DNA1	6768.848232060547	0.998	476.609	7.041%	132.193	6.693%	0.01354	0.997
EOC148_pOvaL4_DNA1	5273.876693432245	0.998	315.751	5.987%	89.841	5.994%	0.00593	0.998
EOC148_pOvaL5_DNA1	6498.883349850876	0.998	422.489	6.501%	108.38	5.72%	0.00601	0.998
EOC192_iOme1B_DNA2	678.8515152418059	0.991	114.857	16.919%	28.407	13.349%	0.04489	0.988
EOC192_iOme3A_DNA1	700.8106088235589	0.99	112.348	16.031%	31.286	14.128%	0.03423	0.987
EOC192_iOvaR1A_DNA1	959.0604771054909	0.997	93.38	9.737%	21.744	7.726%	0.01889	0.996
EOC192_pAsc1_DNA1	880.704633671309	0.995	114.591	13.011%	27.549	10.287%	0.02739	0.993
EOC192_pOme1A_TR_DNA1	917.9051193816222	0.998	79.463	8.657%	17.377	6.351%	0.01543	0.997
EOC192_pOme2B_DNA2	964.0041714093117	0.999	71.86	7.454%	15.478	5.509%	0.01682	0.998
EOC192_pOvaR1A_DNA1	907.0493577400416	0.997	83.384	9.193%	19.828	7.419%	0.01667	0.996
EOC192_pOvaR1A_DNA3	917.0488345709969	0.995	111.173	12.123%	28.148	10.333%	0.02305	0.993
EOC192_pPer1A_DNA2	1118.8987001439978	0.992	155.115	13.863%	40.477	12.615%	0.02772	0.989
EOC192_pPer2B_DNA1	1389.994158932963	0.99	205.468	14.782%	53.286	14.503%	0.03599	0.986
