Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EOC1003_p2Ome1_TR_DNA	2677.8331237821135	0.999	191.676	7.158%	41.526	5.435%	0.01592	0.998
EOC1003_p2OvaL1_TR_DNA	2756.8111458251706	0.999	133.59	4.846%	29.026	3.65%	0.00886	0.999
EOC1003_p2OvaR1_DNA1	1960.949064494717	0.997	183.096	9.337%	47.79	8.457%	0.02233	0.996
EOC1022_pOme1_DNA1	883.8837764887545	0.993	140.85	15.935%	30.096	12.106%	0.09869	0.99
EOC1022_pPer1_DNA1	1358.826827879444	0.998	110.962	8.166%	23.8	6.39%	0.02102	0.997
EOC1067_pOme1_DNA3	1604.881423102248	0.997	168.628	10.507%	35.786	7.544%	0.02535	0.996
EOC1067_pOvaR1_DNA1	3231.6593710798315	0.999	154.498	4.781%	34.543	3.464%	0.00819	0.999
EOC1067_pPerR1_DNA1	1501.7751190546387	0.997	143.691	9.568%	35.666	8.262%	0.01517	0.995
EOC1067_pTubL1_DNA1	2166.8040540479265	0.997	204.879	9.455%	44.773	7.154%	0.02499	0.997
EOC1091_pOme1_TR_DNA	3098.8889652051444	0.997	322.243	10.399%	68.087	7.563%	0.03866	0.996
EOC1091_pOvaR1_TR_DNA	2636.9626345633537	0.997	278.192	10.55%	60.39	7.737%	0.04395	0.996
EOC124_pOvaL1_TR_DNA1	4417.111455394625	0.999	283.068	6.408%	63.915	4.77%	0.01977	0.999
EOC124_pOvaR1_TR	4047.759470070756	0.999	255.651	6.316%	57.616	4.977%	0.00862	0.999
EOC133_pAsc1_DNA1	3491.8721079373286	0.998	280.516	8.033%	63.951	6.231%	0.02332	0.997
EOC133_pOme1_TR_DNA	3189.908324987377	0.997	289.725	9.083%	66.146	7.193%	0.02615	0.996
EOC133_pOvaL1_DNA1	3135.920383373419	0.998	263.865	8.414%	54.259	5.896%	0.03872	0.998
EOC148_pAdnL1_DNA1	7201.839296609127	0.997	670.901	9.316%	175.829	8.371%	0.01965	0.995
